Event Type:,Place:,Event Date:,Estimated Total Cost:,Comments
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Ontario,"July 8, 2016","$47,063,000","Southern Ontario, July 8, 2016. A cold front produced severe thunderstorms across southern Ontario. Multiple severe storms caused hail to fall in Markdale and Flesherton before moving east into Midland and Bradford. Heavy rain, strong winds and lighting were experienced in London, Whitby and Ajax, where it rained over 35 mm. Strong wind gusts of over 100 km/h were reported in areas north of the Greater Toronto Area (GTA). The strong winds downed trees and power lines resulting in power outages that affected over 39,000 Hydro One customers (approximately 117,000 individuals). Additionally, hail caused significant crop damage to over 2000 acres of crop land in the Holland Marsh area."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Prairie Provinces,"June 28, 2016","$89,083,000","Prairie Provinces, June 28-30, 2016. Multiple thunderstorms hit Alberta, Saskatchewan and Manitoba as a warm front moved into the prairies. On June 28, severe thunderstorms formed in Alberta, where Okotoks received 30 cm of hail, Edmonton received up to 75 mm of rain and Calgary was hit by strong winds and lighting that caused trees and two houses to catch fire. On June 29, the storm began to move into southern Saskatchewan and southern Manitoba where hail and heavy rain accompanied by strong winds caused localized flooding. Alberta experienced more bad weather on June 30, where Calgary was impacted by hail, Taber and Strathmore experienced flooding and an EF0 tornado touched down in Ponoka."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Alberta, Saskatchewan, Manitoba and Ontario","June 24, 2016","$35,523,000","Alberta, Saskatchewan, Manitoba and Ontario, June 24-25, 2016. A large storm system caused bad weather throughout the Prairies and parts of northern Ontario. On June 24, widespread and severe thunderstorms caused heavy rain, strong winds, hail and lighting in southern Saskatchewan, while southern Manitoba experienced hail, wind gusts of up to 124 km/h and up to 138 mm of rain. In parts of southern Saskatchewan and Manitoba powerful winds uprooted trees and downed power lines, while flooding caused damages to roads, homes and businesses. In Manitoba, a voluntary evacuation was issued for the communities of Caddy Lake and Whiteshell due to flooding. On June 25, the storm system moved into northern Ontario where it caused significant flooding in Thunder Bay, which received 50 mm of rain in three hours."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Nova Scotia,"April 5, 2016",Unknown,"Nova Scotia, April 5, 2016. Several powers outages stretching from Annapolis Valley to Cape Breton resulted in up to 11,000 homes and businesses (approximately 33,000 individuals) being without power. The power outages were caused by strong winds and heavy rain that pushed trees onto power lines. The impacted areas included Coldbrook, Tatamagouche, Antigonish and Cheticamp. Many schools and businesses were closed due to the power outages and the Tancook Island Ferry service was shut down temporarily because of strong winds."
Meteorological - Hydrological | Storm - Unspecified / Other,South Coast and Lower Mainland British Columbia,"March 9, 2016",Unknown,"South Coast and Lower Mainland British Columbia, March 9-10, 2016. A storm system off the coast of British Columbia generated a windstorm that impacted Vancouver Island, the southwest coast and the lower mainland. The storm produced up to 100 mm of rain and wind gusts of over 100 km/h in some parts. Heavy rainfall caused localized flooding in Comox Valley, Port Mellon and Port Alberni as well as caused a mudslide in Cowichan Valley. Strong winds and high tide contributed towards a storm surge that accompanied the storm, causing coastal flooding in Delta, Richmond and White Rock. The strong winds were attributed for causing the most significant damages including fallen trees that downed power lines, resulting in 160,000 BC Hydro customer (approximately 480,000 individuals) being without power. Due to the power outages, 11 schools in Surrey, five in Abbotsford and five in Mission were closed. The powerful winds also damaged roofs, broke windows and even flipped over a Cessna aircraft. In addition, one individual in Port Moody was killed when a tree crashed through the roof of her home while she was inside."
Meteorological - Hydrological | Storm - Unspecified / Other,Lower Mainland British Columbia,"August 29, 2015","$34,768,000","Lower Mainland British Columbia, August 29, 2015. One of the worst windstorms to affect the province in decades hit British Columbia’s Lower Mainland. The most affected areas included Surrey, Richmond, Abbotsford and the Western Fraser Valley. On Saturna Island, wind gusts were report to reached 117 km/h. The powerful winds subsequently fell hundreds of trees, which damaged homes, vehicles and power lines. In total, approximately 500,000 customers (1,500,000 individuals) lost power due to damaged power lines. Some areas lost power temporarily, while others were without power for over three days. Fallen trees caused damages to residential and commercial property. Debris and traffic light outages created severe traffic congestion. There were numerous reports of an undetermined number of people being injured due to fallen trees and debris. One individual was critically injured and taken to the hospital after a tree fell on her while she was outside with her daughter. Additionally, a Vancouver Sky Train was damaged by a fallen tree resulting in service delays. The strong winds that fell hundreds of trees also caused the closure of Stanley Park, Pacific National Exhibition (PNE) and ferry crossings."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Alberta,"August 4, 2015","$167,236,000","Southern Alberta, August 4-5, 2015. A severe thunderstorm warning was in place for much of southern Alberta including tornado warnings. On August 4, a storm cell that produced low to moderate levels of hail formed in the Elbow valley and later moved into the northern regions of Calgary just as a second storm cell headed towards the southern region of the city. Both storm cells formed one large storm system that hit the Calgary area with severe hail. As the storm system move out of Calgary, the village of Standard was impacted by small hail and there were reports of a tornado sighting in Langdon that caused minimal damages. On August 05, the Calgary area was hit again by bad weather. In Calgary there was significant rainfall and wind gusts of up to 78 km/h. Flooding occurred in the city where it had rained up to 100 mm since the previous storm. Over all, both storms produced strong winds that caused damages to the roofs of apartment buildings and residential homes. Approximately 35,000 customers (105,000 individuals) lost power due to damaged power lines from fallen trees. Heavy rain and hail also caused flooding that submerged basements, vehicles and underpasses."
Meteorological - Hydrological | Tornado,Southern Ontario,"August 2, 2015",Unknown,"Southern Ontario, August 2-3, 2015. Southern Ontario was struck by three confirmed tornados, two EF2 tornadoes and an EF1 tornado, along with an EF1 downburst and one other unconfirmed tornado sighting. An EF2 tornado touched down in the small town of Teviotdale located 60 kilometres north of Waterloo and another touched down in Lebanon. Wind gusts were reported between 180 to 220 km/h in some areas. The tornado that struck Lebanon caused only minimal damages, however the tornado in Teviotdale left a nine kilometre trail of damage, which downed power lines, destroyed two homes and damaged several other homes and vehicles. The EF1 tornado in Marsville also caused only minimal damages, mostly to trees. In addition, there was a confirmed EF1 downburst in Utica that caused damages to a local Green Tractors John Deere Dealership as well as an unconfirmed tornado in Proton Station that collapsed a tent sending six people to the hospital. Approximately 50,000 hydro customers (150,000 individuals) in southwest Ontario were left without power due to the severe supercell system that caused the tornadoes to form. Residents in several communities throughout southern Ontario experienced strong winds, rain and hail after the tornadoes touched down as a second system moved into the region later in the evening."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Alberta and Saskatchewan,"July 22, 2015","$45,676,000","Alberta and Saskatchewan, July 22, 2015. Severe thunderstorms affected the southern Alberta region before moving into Saskatchewan. A storm system southwest of Calgary produced a small tornado that touched down in the Tsuu T’ina Nation at 12:53 MTZ as well as multiple funnel clouds, which were spotted in the Calgary area. The impact of the tornado was minimal, however the proximity of the tornado to a highly populated area like Calgary created an extremely high level of risk. Southern areas of Calgary including Canyon Meadows and Lake Bonavista were hit with large hail and as the storm moved east, Hussar, Patricia and Strathmore were impacted by strong wind gusts that downed trees over power lines resulting in localized power outages. A severe thunderstorm warning was in effect at the time meaning that wind gusts exceeded 90 km/h and hail was greater than two cm. The storm later reached Saskatchewan where the town of Kerrobert was hit with severe hail, prompting a state of emergency to be declared. Other communities in Saskatchewan such as Anglin Lake, Francis, Sedley and Regina were impacted by strong winds, heavy rain, hail and lighting. Golf-ball sized hail caused the most significant damages during the storm, including damages to roofs, windows and vehicles."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Ontario,"June 22, 2015","$29,188,000","Southern Ontario, June 22-23, 2015. A cold front that swept through southern Ontario after a warm low pressure system created severe isolated thunderstorms that brought intense lightening, heavy rain and strong winds. Heavy rainfall caused flooding in London, where there was up to 48 mm of rain and in Toronto, where the Toronto Pearson International Airport recorded 110 mm. Flooding in London overwhelmed the sewage system as well as caused damages to residential and commercial properties due to basement flooding. In Toronto, flooding caused road closures and delayed Go Transit. Strong winds and lighting downed trees, which caused damages to homes and power lines. Approximately 100,000 Hydro One customers (300,000 individuals) were without power during the storm."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Prairie Provinces,"June 12, 2015","$98,184,000","Prairie Provinces, June 12, 2015. A massive storm system moved through the prairies causing severe thunderstorms to occur throughout the prairie provinces starting in central Alberta and Saskatchewan. Parts of southern Alberta experienced thunderstorms including High River, Brooks and Taber. The storm intensified near Medicine Hat where there was hail and strong winds that caused damages throughout the city. Approximately 9000 people in Alberta lost power due to downed power lines. The storm later moved into Saskatchewan near maple Creek with hail and estimated wind gusts of up to 120 km/h. As the storm travelled eastward, Assiniboia and Weyburn sustained damages from hail. A large part of the storm moved into Manitoba, bringing heavy rain, strong winds and hail that impacted Virden causing extensive damages."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Fredericton NB,"May 28, 2015",Unknown,"Fredericton NB, May 28-29, 2015. Fredericton was hit by a severe thunderstorm that knocked out power to 25,000 people. A significant amount of rain and hail fell in the area causing flash flooding in the streets of Fredericton. It was reported that 25 to 40 mm of rain fell in one hour and the storm produced wind gusts of up to 82 km/h. The storm that downed power lines and trees also produced a significant amount of lightening. It was reported that there were 319 lightning strikes within 50 kilometres of Fredericton."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Manitoba,"February 16, 2015",Unknown,"Southern Manitoba, May 16-18, 2015. A Colorado low responsible for a tornado outbreak in the United States moved north into Manitoba where it merged with an Artic front. The combined systems created a storm that produced strong winds and heavy rain that eventually turned into ice pellets, snow and hail. On May 17, southern Manitoba was hit with heavy rain and isolated thunderstorms that produced wind gusts of 93 km/h in Winnipeg, 89 km/h in Gimli Harbour and 83 km/h near Brandon. Heavy rain was also reported with the heaviest areas receiving 90 mm in Melita and 83 mm in Bede. The Artic front lowered the temperature causing the rain to turn into freezing rain and snow. MacGregor and Teulon both received 15 cm of snow. Damages were caused by strong winds downing trees and power lines. Approximately 5000 people temporarily lost power during the weekend storm. Heavy rain and snowmelt also caused flooding in certain areas where damage was done to agricultural lands and cottage properties. In addition, the heavy rain caused sewage backups in Winnipeg."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Central Alberta,"August 7, 2014",Unknown,"On August 7th, a system of severe thunderstorms tracked east towards Calgary and Medicine Hat. The system brought both strong winds and large hail which measured up to the size of a baseball. The hardest hit area was Airdrie where 6 individuals were hospitalized and almost every household reported damage. The impacted area stretched across 250 km of central Alberta and was one of the largest hail-stricken areas from a single storm in 20 years. The storm caused over half a billion dollars in insured damage."
Meteorological - Hydrological | Hurricane / Typhoon / Tropical Storm,"Quebec, New Brunswick, Nova Scotia, and Prince Edward Island","July 5, 2014","$24,712,000","Quebec, New Brunswick, Nova Scotia, and Prince Edward Island, July 5-6, 2014. Hurricane Arthur transformed into a powerful Post-Tropical storm over the Maritime provinces. The storm brought powerful wind gusts and heavy rain to Quebec, New Brunswick, Nova Scotia and Prince Edward Island. The most amount of rain was received in St. Stephen, New Brunswick where it rained up to 143 mm. The strongest winds were felt in Nova Scotia where in Greenwood wind gusts reached up to 140 km/h. In Quebec, severe flooding in Mont-Louis inundated several roads affecting 40 homes, while in Marsoui approximately 30 homes were evacuated (approximately 90 individuals). The powerful winds generated by the storm downed trees and power lines throughout the Maritimes causing power outages, property damage and infrastructure damage. Approximately 290,000 homes and businesses (870,000 individuals) in the Maritimes were without power, while in Quebec approximately 23,000 homes and businesses (69,000 individuals) were reported to have lost power."
Meteorological - Hydrological | Tornado,"Angus, Ontario","June 17, 2014",Unknown,"On June 17th, an EF2 tornado struck Angus, ON, a community 18 km southwest of Barrie. At 5:00pm (local), a line of severe thunderstorms moved into the region and within 15 minutes, the tornado tracked through the community of Angus. The tornado was on the ground for 20 km and damaged 102 homes, 14 of which were beyond repair. The tornado left 300 individuals homeless, caused 3 minor injuries and over $50 million (CAD 2014) in insured losses. A state of emergency was in place for a week."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Ontario and southern Quebec,"July 19, 2013",Unknown,"A series of severe thunderstorms tracked over southern Ontario and Quebec throughout July 19th and into the next morning. The storm brought exceptionally strong winds. Pearson International Airport in Toronto, for example, recorded winds of 104 km/hr. As a result, there was widespread wind damage and power outages. One individual was killed by a falling tree branch and two others were injured in Boucherville, QC; 8 children were also injured when their tent collapsed in Prevost, QC. Insurable losses were estimated to be $167 million (CAD 2013)."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southeast British Columbia,"June 19, 2013","$10,796,000","Southeast British Columbia, June 19-21, 2013. A series of intense rainstorms impacted southwestern Alberta and tracked into southeastern British Columbia, causing widespread flooding, mudslides and road closures. Up to 130 mm of rain fell in some regions and multiple evacuations were ordered. There were 130 homes that were evacuated in Sparwood due to rising flood waters while two mudslides closed parts of Highway 31. Highways 1, 31, 31A, 43 and 93 were all closed due to washouts and debris flow. There also was extensive overland flooding in the town of Fernie."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Calgary, Alberta","August 14, 2012",Unknown,"Two days after a significant hail storm in Calgary, a second severe storm tracked over the city as well as Airdrie on August 14th. The storm brought strong winds (96 km/hr at the Calgary International Airport), rain and hail. Insurable losses were reported to be $95.2 million (CAD 2012)."
Meteorological - Hydrological | Storms and Severe Thunderstorms,"Calgary, Alberta","August 12, 2012",Unknown,"On August 12th, a significant hail event impacted Calgary and its surrounding area. Hailstones as large as golf balls damaged vehicles, windows, gardens and trees as well as the iconic Calgary Saddledome. The hail event led to over half a billion dollars in insured losses (2012 dollars)."
Meteorological - Hydrological | Storms and Severe Thunderstorms,Southern Alberta,"July 26, 2012",Unknown,"On the afternoon of July 26th, severe thunderstorms developed throughout southern Alberta and created ideal conditions for hail. Severe storms near Nanton and Cardston dropped significant hail leading to $99.4 million (2012 CAD) in insurable losses."
