Event Type:,Place:,Event Date:,Estimated Total Cost:,Comments
Meteorological - Hydrological | Flood,"Mud Lake, Newfoundland and Labrador","May 16, 2017",Unknown,"During the ice cover breakup season, an ice jam formed along the lower Churchill River which affected the nearby Mud Lake. On May 16th, the water levels of Mud Lake in central Labrador began to rise and within 24 hours the levels quickly became unsafe. By May 19th, all residents except one had been evacuated to Happy Valley-Goose Bay. The Canadian Armed Forces assisted in the evacuation effort including opening a temporary shelter for some of the displaced individuals; 18 individuals stayed until December 12th. The water receded by May 22."
Meteorological - Hydrological | Flood,Eastern Canada,"May 4, 2017","$116,000,000","A combination of significant rainfall from May 4-7, overland flow, and high water levels led to extensive flooding across in parts of eastern Canada. Montreal and the National Capital Region experienced their wettest springs in recorded history with over +400 mm of rainfall. Several communities declared States of Emergency including Gatineau, Montreal, and many smaller towns. The Canadian military deployed 4,000 personnel to help with the flood efforts. The event caused significant losses including over $116 million in insured damage, and 550 damaged roads. Two people were killed in floodwaters in the Sainte-Anne River (Gaspe region)."
Meteorological - Hydrological | Flood,British Columbia,"April 27, 2017",Unknown,"Following a relatively cold and dry winter, the Southern Interior region of British Columbia experienced a wetter than average spring. A late snowfall and rain accumulation led to saturated soils, overland flow, and slope instability throughout areas of the south and central Okanagan as well as the Kootenay and Shuswap regions. The flooding led to 2,500 evacuations which were mostly from the Okanagan. Numerous States of Local Emergencies were declared. 15 First Nation communities were impacted where the flooding damaged homes and infrastructure. The flood response costs alone were estimated to be $73 million."
Meteorological - Hydrological | Flood,"Kashechewan First Nation, Ontario","April 16, 2017",Unknown,"In the spring of 2017, the rising water levels of the Albany River was threatening the Kashechewan First Nation. After declaring a state of emergency, roughly 500 residents were evacuated as a precaution. The Canadian Armed Forces aided in the evacuations as well as monitoring the river levels."
Meteorological - Hydrological | Flood,Red Earth First Nation SK,"November 14, 2016",Unknown,"Red Earth First Nation SK, July 14-18, 2016. Heavy rain resulted in the flooding of the Carrot River in northern Saskatchewan. The community of Red Earth Cree Nation, located 75 kilometres east of Nipawin, declared a state of emergency and was forced to evacuate 576 residents. The majority of evacuees stayed in Saskatoon at the Henk Ruy’s Soccer Centre, while others stayed in hotels or with family. The communities of Carrot River and the rural municipalities of Moose Range and Arborfield also declared states of emergency but were less impacted by the flood."
Meteorological - Hydrological | Flood,"Nova Scotia, Prince Edward Island and Newfoundland","October 9, 2016","$30,350,000","Nova Scotia, Prince Edward Island and Newfoundland, October 9-13, 2016. Atlantic Canada was hit with heavy rain as a result of the remnants of Hurricane Matthew. Wind and heavy rainfall warnings were in affect from October 10 to 11 for northeastern Nova Scotia and Newfoundland. On October 10, 150 mm of rain fell on Newfoundland. The town of Burgeo alone received 120 mm of rain, which caused the closure of Highway 480. St-Alban’s declared a state of emergency due to various road closures including the Swanger’s Cove Bridge on route 361, which was reported to have been damaged and was deemed unusable by the Newfoundland Public Safety Regional Office. Road closures in St-Alban’s resulted in the isolation of numerous homes. In Nova Scotia, over 220 mm of rain was reported across the province. The J.A. Douglas McCurdy Sydney Airport was forced to close all runways. Cape Breton was hard hit by the heavy rain, which resulted in property damage to approximately 300 homes. Most severely impacted was Eskasoni First Nation where 100 homes were flooded and an undetermined number of people evacuated due to high water levels. On October 11, there were 16 states of emergency in Newfoundland where Bager and Gander received 131 mm and 124 mm of rain. While there no states of emergency declared in Nova Scotia, NS Power reported that approximately 130,000 customers (390,000 individuals) had experienced power outages. Prince Edward Island received 73 mm of rain, which left approximately 600 residents without power. Ferries in Nova Scotia and Newfoundland were closed due to eight-metre high waves caused by the storm. The Canadian Armed Forces assisted with sandbagging efforts as water levels continued to rise until October 12. It was not until October 13 when water levels began to drop in certain areas, however in Newfoundland water levels remained at a record high. Power was restored to all customers in Nova Scotia and Prince Edward Island by October 13."
Meteorological - Hydrological | Flood,Windsor and Tecumseh ON,"September 29, 2016",Unknown,"Windsor and Tecumsech ON, September 29, 2016. States of emergency were declared in Windsor and Tecumsech after the region was hit with intense storms that produced significant flooding. The Windsor Airport recorded 78 mm of rain within a 24-hour period, while another gauge in the city’s east end measured 106 mm and the town of Tecumsech received up to 190 mm. In both municipalities, the heavy rain resulted in hundreds of flooded basements. Cars were abandoned in flooded streets and many roads were closed."
Meteorological - Hydrological | Flood,Fort McMurray AB,"July 30, 2016","$462,528,000","Fort McMurray AB, July 30-31 2016. Only weeks after the devastating wildfire that swept through the Regional Municipality of Wood Buffalo, the city of Fort McMurray was struck by a flash flood, which caused damages to personal property as well as disrupted local traffic and recovery efforts. On July 31, Fort McMurray received up to 85 mm of rain, which caused significant damages to approximately 41 homes. The flood occurred at a time when Fort McMurray was undergoing recovery efforts in response to the May wildfires that caused the evacuation of the entire city. The flash flood also caused road closures and knocked out power to traffic lights."
Meteorological - Hydrological | Flood,Kenora ON,"June 27, 2016",Unknown,"Kenora ON, June 27-28, 2016. Two states of emergency were declared in Kenora due to flooding that resulted in over 20 roads experiencing moderate to extensive damages. On June 27, the first state of emergency was declared after Kenora received more than 109 mm of rain over a two-day period. The main road into the city, Veterans Drive, was completely washed out and subsequently closed. A second state of emergency was declared on June 28."
Meteorological - Hydrological | Flood,Northeastern British Columbia,"June 15, 2016","$65,132,000","Northeastern British Columbia, June 15-17, 2016. Heavy rainfall throughout the Peace River region in northeastern British Columbia caused flooding in several communities. The district of Chetwynd declared a local state of emergency on June 15 after Chetwynd had received a total of 134.8 mm of rain over a two-day period. A section of Highway 97, the only route that connects the region of Peace River to the rest of the province, was closed due to flooding. The hardest hit by the flooding was the city of Dawson Creek where up to 98.6 mm of rain fell over a two-day period. In Dawson Creek, 60 people evacuated their homes due to flood waters that damaged approximately 400 homes, destroyed one bridge and submerged two others. The flooding in Dawson Creek cut the city in half, leaving residents in the south end of the city without power as well as separating the hospital from the fire hall, which created a challenge for emergency responders. In total, over 2000 homes and businesses (approximately 6000 individuals) were without power throughout the Peace River region as of June 15."
Meteorological - Hydrological | Flood,Kashechewan First Nation ON,"April 27, 2016",Unknown,"Kashechewan First Nation ON, April 27-30, 2016. The chief of Kashechewan First Nation declared a state of emergency on April 27 due to annual spring ice break up, snowmelt and subsequent run off in the James Bay coast. In total, 1,207 residents out of the 1,600 residents who live in the northern Ontario reserve evacuated their homes in multiple stages of evacuations that took place from April 29-30. Evacuees were taken to Kapuskasing and Thunder bay."
Meteorological - Hydrological | Flood,Chestermere AB,"July 12, 2015",Unknown,"Chestermere AB, July 12, 2015. Flooding occurred in the town of Chestermere were it rain 223 mm in only a few hours. The huge amount of rain that fell on the town resulted in overland flooding. In Chestermere, the basements of approximately 300 homes were flooded due to overland flooding, sewer backups or sump pump failure. In some cases, water levels of up to eight feet were reported in residential basements. In addition, vehicles in the street were nearly submerged in water. Lighting accompanied by the storm caused power outages that affected approximately 20,000 people. The power outages are believed to have led to the severity of basement flooding."
Meteorological - Hydrological | Flood,Perth-Andover NB,"April 18, 2015",Unknown,"Perth-Andover NB, April 18-20, 2015. Perth-Andover experienced significant flooding due to a massive ice jam that broke apart on the St. John and Tobique Rivers. Ice congested local waterways near the village of Perth-Andover causing water levels to rise. The flooding forced 300 people to evacuate. The Canadian Red Cross assisted with the evacuation order. Many businesses closed down, including schools and the local hospital where 23 patients staying at the Hotel Dieu of St. Joseph had to be relocated. Route 105, the major road into Perth-Andover, was closed due to the risk of overland flooding."
Meteorological - Hydrological | Flood,Fort Albany and Kashcewan First Nation,"April 17, 2015",Unknown,"Fort Albany and Kashechewan First Nation ON, April 17 to May 11, 2015. The annual spring melt resulted in high water levels in the Albany River, which caused severe flooding for communities in the James Bay region. A state of emergency was declared on April 17, for the Kashechewan First Nation, which is situated in the mouth of the Albany River on the shores of James Bay. The community of Fort Albany also declared a state of emergency on April 29. Evacuations in Kashechewan began April 25, where 1,320 residents were air lifted to safety. In Fort Albany, 13 hospital patients were also evacuated by air. On April 27, the Ontario government issued a Request for Federal Assistance (RFA) for aircrafts in response to the flood in order to evacuate the remaining residents. The community of Moose Cree First Nation was also affected but no evacuations took place. In total, 1,333 people were evacuated to Kapuskasing, Smooth Rock Falls, Wawa and Cornwall. Some residents were permanently displaced due to mold and poor living conditions brought on by the reoccurring floods. Evacuation efforts were complete by April 28."
Meteorological - Hydrological | Flood,Southern Manitoba,"June 25, 2014","$1,164,679,000","Southern Manitoba, June 25 to July 14, 2014. After a relatively quiet spring flood season, heavy rainfall in Western Manitoba and Saskatchewan led to record flows and flooding along the Assiniboine, Qu’Appelle and Souris Rivers. Up to 200 mm of rain fell in some municipalities. Over 43 local states of emergency were declared followed by a provincial state of emergency and formal request for federal assistance on July 4. Approximately 300 Canadian Armed Forces personnel deployed from CFB Shilo to help flood recovery efforts. The Portage Diversion was opened near Portage la Prairie to direct flows from the Assiniboine river into Lake Manitoba. In total, approximately 560 people were evacuated from their homes. The Government of Manitoba estimates that over 920,000 acres of farm land went unseeded for the 2014 season, representing 25 percent of arable acres in Manitoba with an associated estimated cost of over $1 billion dollars. 

*Note: A request for federal assistance through the DFAA program has been made; however, no payments have yet been issued."
Meteorological - Hydrological | Flood,Southern Saskatchewan,"June 25, 2014","$19,387,000","Southern Saskatchewan, June 25 to July 14, 2014. Heavy rain across southeastern Saskatchewan led to localized overland flooding, road washouts, highway closures, and local power outages. The affected basins were the Souris, Lower Qu’Appelle and Assiniboine. Some areas in southeastern Saskatchewan reported up to 240 mm of precipitation in less than two days. Over 68 municipalities declared local states of emergency. In Melville, St. Peter’s hospital evacuated 150 acute care patients due to rising flood waters. The Trans-Canada Highway was washed out in several sections and CN rail was heavily impacted on its regional lines. Peak flow levels on the Assiniboine and Qu’Appelle rivers exceeded that of the 2011 flood."
Meteorological - Hydrological | Flood,Southern Alberta,"June 15, 2014",Unknown,"Southern Alberta, June 15 to July 30, 2014. Significant rainfall in southern Alberta led to overland flooding and evacuations along the Oldman, St. Mary, Belly and Waterton rivers. Twelve municipalities declared local states of emergency and over 500 people were evacuated throughout the province. The most significant evacuations came from the Blood Tribe Reserve First Nation, where 435 people were evacuated due to flooding and infrastructure failures.

Note: A request for federal assistance through the DFAA program has been made; however, no payments have yet been issued."
Meteorological - Hydrological | Flood,"James Bay, Ontario","May 7, 2014",Unknown,"In the spring of 2014, the ice breakup and flooding along the southwestern shorelines of James Bay and its tributary rivers were threatening several communities. On May 7th, the Canadian Armed Forces began to assist in the evacuation of communities in the James Bay region including Kashechewan, Fort Albany, and Attawapiskat. Evacuation operations continued in the region for almost two weeks. As a result of flooding and sewer back-ups, 40 buildings were damaged. Roughly 2,000 residents in several communities were evacuated."
Meteorological - Hydrological | Flood,New Brunswick,"April 15, 2014","$29,603,000","New Brunswick, April 15 to May 2, 2014. Spring flooding damaged more than 715 homes and businesses, roads, bridges, and other public infrastructure around the province. The majority of property damages were in and around Sussex and Sussex Corner, where 120 homes and 10 businesses were flooded. On April 16, a state of emergency was declared as water breached the banks of the St. John River, causing 1,450 people to evacuate their homes. In Perth-Andover, 23 patients were voluntarily evacuated and transferred to Upper River Valley Hospital. Throughout the rest of the province, swollen rivers led to the closure of several roads and localized flooding."
Meteorological - Hydrological | Flood,Southern Quebec,"April 14, 2014","$13,064,000","Quebec, April 14 to May 1, 2014. A series of intense rainstorms deposited up to 75 mm of rain throughout parts of southern Quebec over a three-day period. Coupled with a delayed spring thaw, the rain caused ice jams and flooding along several rivers in the province. About 300 residents in Sainte-Raymond evacuated including residents from a senior’s home due to raising water levels in the Sainte-Anne River. Many homes situated near the Montmorency River along with homes in Trois-Rivieres, Lennoxville and Weedon were evacuated. In Sherbrooke 632 residents evacuated their homes as the Saint-Francois River reached a record peak of 7.5 metres."
Meteorological - Hydrological | Flood,Toronto ON,"July 8, 2013","$940,000,000","Toronto ON, July 8, 2013. A thunderstorm that produced 126 mm in precipitation caused flash-flooding in the Greater Toronto area. The flooding closed multiple transportation corridors, caused wide-spread property damage, and disrupted power to approximately 300,000 residents. The Insurance Bureau of Canada estimated that the flooding caused $940 million in insured property damage."
Meteorological - Hydrological | Flood,Southern Alberta,"June 19, 2013","$2,715,742,000","Southern Alberta, June 19-28, 2013. A massive storm system crept through Alberta causing significant flooding throughout the province. As of 2013, this event was responsible for the largest evacuation due to a natural disaster in Alberta’s history. Beginning in northern Alberta, Fort McMurray declared a local state of emergency when water from the Hanging Stone River breached its banks on June 8. The storm then moved south on June 19, where it remained for three days over southern Alberta. Heavy rain spanning across a region from Canmore to Calgary produced an average of 75 to 150 mm during this three-day period. Twenty-nine local states of emergency were declared throughout the province. Four deaths were attributed to the floods, which caused significant disruptions across the province to power, telecommunications, clean water supply, and transportation corridors, including a section of the Trans-Canada Highway that closed due to a mudslide caused by the torrential rain. In Calgary the Bow and Elbow Rivers flooded, which forced 75,000 residents to evacuate the city. Over 4000 business were affected and 3000 buildings were flooded, including that Saddledome and the Calgary Zoo. The towns of High River and Canmore were also significantly impacted by the floods. In total, flooding forced the evacuations of approximately 100,000 Albertans. As flood conditions improved, some residents were allowed to gradually return to their communities beginning on June 23, while the remaining residents were allowed to return by June 28. Response to the flood was provided by municipal, provincial, and federal governments and non-governmental organizations. Insurance payments are estimated at $1.2 billion. This disaster is estimated to have reduced Gross Domestic Product (GDP) in Southern Alberta by $550 million (2013 dollars)."
Meteorological - Hydrological | Flood,Kasabonika Lake First Nation ON,"May 27, 2013",Unknown,"Kasabonika Lake First Nation ON, May 27-31, 2013. Snow and ice melt caused water levels to rise rapidly on Kasabonika Lake, threatening the First Nations community that lives on the lake. A local state of emergency was declared and approximately 150 of the most vulnerable residents were evacuated to the towns of Hearst and Greenstone. Several buildings were damaged in the flood. As water levels returned to normal, residents were allowed to return to their homes by May 31."
Meteorological - Hydrological | Flood,Cumberland House SK,"April 29, 2013","$43,309,000","Cumberland House SK, April 29 to July 03, 2013. Higher-than-normal snow fall and lower temperatures delayed the annual spring melt until the end of April. Over 15 communities declared states of emergencies between April and June as flood waters rose throughout the province. Overland flooding occurred between Moose Jaw and Indian Head, including parts of Regina and south past Weyburn to the U.S border. Significant damage occurred on parts of Highways 2 and 3 that were washed out by the flood waters. Flood waters flowing east on the South Saskatchewan River from Alberta following the June 19 flash floods reached a peak flow of 6000 cubic metres per second, the highest ever recorded, flowing into the Lake Diefenbaker Reservoir. Between June 23 and 28 the Saskatchewan Water Security Agency began releasing water from the reservoir at a rate of 2000 cubic metres per second, leading to a two-metre rise in the river downstream. As a result, 2,200 residents of Cumberland House were evacuated to Prince Albert and Saskatoon. On July 3, 2013 the evacuation order was lifted and residents began to return to the community. 

*Note: A request for federal assistance through the DFAA program has been made."
Meteorological - Hydrological | Flood,Sicamous BC,"June 23, 2012","$3,829,000","Sicamous BC, June 23, 2012. Flash flooding near Sicamous, BC, washed out Highway 97A in two places, damaging several vehicles and cutting off road access and drinking water supplies to hundreds of residences. Around 350 people in the area of Swansea Point and 2 Mile were forced from their homes due to an evacuation order issued after two raging creeks jumped their banks. Also, a 72-year-old man died after being swept into a fast-moving creek near Nelson. A five-member Rapid Damage Assessment Team landed in Sicamous, which was swamped by the Shuswap swells, and the Red Cross provided a resilience center to help assess needs and offered supplies to troubled residents in the community of about 3,100."
Meteorological - Hydrological | Flood,"Yukon, Northwest Territories and British Columbia","June 6, 2012","$1,503,748","Yukon, Northwest Territories and British Columbia, June 6-30, 2012. More than 70 mm of precipitation from a low-pressure weather system combined with spring snowmelt caused widespread flooding in Upper Liard, Yukon, Nahanni Butte, Northwest Territories, and Lower Post, British Columbia. Approximately 20 people from Upper Liard, 80 people from Nahanni Butte, and 37 people from Lower Post were evacuated. Approximately 2,500 people, including over 300 commercial transport trucks, experienced traffic delays in the region because of highway washouts. There was extensive damage to transportation corridors as well as approximately 25 buildings in areas affected by the flooding. Floodwaters began receding on June 16. Residents were allowed to return home at the end of June."
Meteorological - Hydrological | Flood,Thunder Bay ON,"May 28, 2012","$241,589,000","Thunder Bay ON, May 28, 2012. Heavy rain and subsequent flooding caused the city of Thunder Bay in northwestern Ontario to declare a state of emergency. Nearly 100 mm of rain was recorded at some weather stations in Thunder Bay on May 28.  The flooding caused road closures, damages to thousands of homes, and interfered with utility services. Thunder Bay Hydro cut power to 50 customers (approximately 1,500 individuals) as a precaution to prevent electrical fires in severely flooded areas."
Meteorological - Hydrological | Flood,Fort Albany and Kashechewan First Nations ON,"March 24, 2012",Unknown,"Kashechewan and Fort Albany ON, March 24 to April 01, 2012. On Saturday, March 24, 2012, a state of emergency was declared by both Fort Albany First Nations and Kashechewan First Nations.  Due to warmer temperatures, early ice break up on the Albany River caused waterways to jam and the water level to rise in low-lying communities.  Evacuations of both communities commenced with 54 of the most vulnerable residents who were flown to the Town of Kapuskasing on March 24, and continued until a total of 269 people had been evacuated to both the Towns of Kapuskasing and Wawa by March 25.  On March 31, 2012, colder temperatures and observations of ice movement resulted in the Chief and Band Council terminating the declared emergency.  All 269 evacuees were repatriated by April 1, 2012.  Emergency Management Ontario and the federal Ministry of Natural Resources co-ordinated the evacuation with the help of federal, municipal and First Nations officials.  Although emergency management is a provincial/territorial responsibility, Aboriginal Affairs and Northern Development Canada (AANDC) accepts responsibility for supporting emergency management in First Nations communities and manages the consequences arising from the emergency such as disruptions to community-level critical services delivered in the First Nation."
Meteorological - Hydrological | Flood,Kashechewan and Fort Albany ON,"March 24, 2012","$6,700,000","Kashechewan and Fort Albany ON, March 24 to April 01, 2012. A state of emergency was declared when rapid snowmelt and early ice break-up caused flooding along the Albany river. The flood forced the evacuation of approximately 269 residents to the towns of Kapuskasing and Wawa. All evacuees were able to return to their homes by April 1, 2012."
Meteorological - Hydrological | Flood,Perth-Andover NB,"March 23, 2012","$19,778,000","Perth-Andover NB, March 23-25, 2012. The Village of Perth-Andover declared a state of emergency on March 23. The village of roughly 1,770 residents was forced to evacuate approximately 500 people living along a four-kilometre section the St. John’s River on March 24. Within the nearby Tobique First Nation community, approximately 20 people were evacuated to a school gymnasium and six homes were damaged by floodwaters. Public Safety Canada’s regional office reported that approximately 200 homes and businesses were damaged, including those of the Tobique First Nation. The province’s Emergency Measures Organization indicated that unseasonably hot weather caused rapid snowmelt, resulting in an ice jam that was to blame for the river breaching its banks. Andover Elementary School and Southern Victoria High School were both closed due to damages from the floodwaters. The Red Cross used Perth-Andover Middle School as an emergency evacuation site. Perth-Andover hospital also sustained damages; patients were relocated to the Upper River Valley Hospital in Waterville and Grand Falls General Hospital, while some were discharged home. Service New Brunswick’s temporary location in Perth-Andover offered free well-water bacterial testing for private well owners who were impacted by the flood. Health Canada was responsible for contacting well owners with information on potentially harmful contamination in their water, whereas Environment Canada as well as local authorities were responsible for notifying remaining well owners of the absence of bacteria in their water. New Brunswick’s provincial government offered information on government services for people whose property sustained damage resulting from the flood. The response level remained within provincial capacity."
Meteorological - Hydrological | Flood,"Eckville, Lacombe, Paddle River, Fort Vermilion, and Peace River AB","July 12, 2011",Unknown,"Eckville, Paddle River, Fort Vermilion, and Peace River AB, July 12-14, 2011. According to the AB River Forecast Centre, water levels on the Peace River exceed 1 in 100 year event levels near Fort Vermilion. The region was divided into three segments to facilitate emergency response. All of 'Area A' included all of the low-lying areas, and was placed under immediate evacuation order. On July 12, there were approximately 100 flooded homes in Eckville and 700 homes were without electricity or phone services. Roads and highways were significantly damaged."
Meteorological - Hydrological | Flood,Weyburn and Estavan SK,"June 17, 2011","$33,258,000","Weyburn and Estavan SK, June 17-28, 2011. A local state of emergency was issued on June 17, because of extensive flooding in the City of Weyburn and Estavan, Saskatchewan. Throughout the province, 19 municipalities declared local states of emergency. Approximately 200 homes were known to be affected in Weyburn, where there was 112 mm of rain. On June 17, Estavan received 27 mm of rain over night and 383 residents were evacuated from a mobile trailer park. On June 18, officials reported that the capacity of the treatment plant had exceeded its limit, and Environment Canada granted permission to pump sewage directly into the Souris River. Repairs were conducted at the treatment plant to address the capacity issue. SaskPower reported scattered and localized power outages throughout the region. Residents in most areas were given permission to return to their homes on June 28."
Meteorological - Hydrological | Flood,Southern Manitoba,"June 2, 2011","$38,357,000","Southern Manitoba, June 2 to July 9, 2011. On June 3, 1,961 individuals were evacuated from the Ochre River, Alonsa, and Sioux Valley First Nations, and 37 communities declared local states of emergency due to extensive flooding.  Another 45 residences were given mandatory evacuation orders in the Dauphin Lake, Ochre River/Cresent Beach area on June 4. On June 6, the Sastachewan Watershed Authority released a large amount of water from the Tobin Lake Dam, which flows towards the flood zone.  By June 6, 40 communities were under a state of local emergency with a total of 2,058 evacuees registered through the Canadian Red Cross and the Manitoba Association of Native Firefighters (MANFF). Effective June 28, there were a total of 2,937 evacuees, 42 local declared States of Emergency with 13 of these being First Nations communities. On July 9, evacuation orders were lifted for Portage La Prairie, Souris, Wawanesa, and Glenwood."
Meteorological - Hydrological | Flood,Calgary AB,"May 29, 2011",Unknown,"Calgary AB, May 29-31, 2011. Tsuu T’ina First Nation evacuated approximately 40 families (120 individuals) from Calgary due to flooding and road washouts.  In addition, The Stone Tribe evacuated approxiamtely seven families (21 individuals) due to flooding.  Also, the Siksika First Nation and Town of High River have issued voluntary evacuation orders for Hidden Valley and High River areas."
